Date,NVDA,BTC,ETC,TSLA,AMZN
3/2/2020,276.429993,8599.508789,219.848511,148.723999,1953.949951
3/3/2020,265.890015,8562.454102,218.970596,149.102005,1908.98999
3/4/2020,284.51001,8869.669922,230.569778,149.899994,1975.829956
3/5/2020,273.290009,8787.786133,224.47963,144.908005,1924.030029
3/6/2020,266.040009,8755.246094,224.517975,140.695999,1901.089966
3/9/2020,245.440002,9078.762695,229.268188,121.599998,1800.609985
3/10/2020,261.079987,9122.545898,243.525299,129.065994,1891.819946
3/11/2020,246.470001,8909.954102,237.853088,126.846001,1820.859985
3/12/2020,216.309998,8108.116211,200.689056,112.110001,1676.609985
3/13/2020,240.839996,7923.644531,201.986328,109.323997,1785
3/16/2020,196.399994,7909.729492,200.767242,89.014,1689.150024
3/17/2020,217.270004,7911.430176,194.86853,86.040001,1807.839966
3/18/2020,202.820007,4970.788086,112.347122,72.244003,1830
3/19/2020,212.970001,5563.707031,133.201813,85.528,1880.930054
3/20/2020,205.75,5200.366211,123.306023,85.505997,1846.089966
3/23/2020,212.690002,5392.314941,125.214302,86.858002,1902.829956
3/24/2020,249.179993,5014.47998,110.605873,101,1940.099976
3/25/2020,245.619995,5225.629395,113.942749,107.849998,1885.839966
3/26/2020,257.23999,5238.438477,114.84227,105.632004,1955.48999
3/27/2020,252.729996,6191.192871,136.593857,102.872002,1900.099976
3/30/2020,265.589996,6198.77832,132.737167,100.426003,1963.949951
3/31/2020,263.600006,6185.066406,132.81871,104.800003,1949.719971
4/1/2020,243.070007,5830.254883,123.321152,96.311996,1907.699951
4/2/2020,255.470001,6416.314941,134.911606,90.893997,1918.829956
4/3/2020,243.910004,6734.803711,138.761444,96.001999,1906.589966
4/6/2020,268.399994,6681.062988,136.195892,103.248001,1997.589966
4/7/2020,259.029999,6716.44043,138.361557,109.089996,2011.599976
4/8/2020,266.950012,6469.79834,133.937943,109.767998,2043
4/9/2020,262.950012,6242.193848,130.986496,114.599998,2042.76001
4/13/2020,269.850006,5922.042969,125.583733,130.190002,2168.870117
4/14/2020,283.950012,6429.841797,132.904541,141.977997,2283.320068
4/15/2020,280.839996,6438.644531,133.593567,145.966003,2307.679932
4/16/2020,294.700012,6606.776367,135.634552,149.042007,2408.189941
4/17/2020,292.320007,6793.624512,142.029144,150.778,2375
4/20/2020,287.049988,6733.387207,142.091309,149.272003,2393.610107
4/21/2020,269.51001,6867.527344,145.219391,137.343994,2328.120117
4/22/2020,286.149994,6791.129395,143.546646,146.421997,2363.48999
4/23/2020,284.01001,7271.78125,169.13588,141.126007,2399.449951
4/24/2020,289.589996,7176.414551,165.101944,145.029999,2410.219971
4/27/2020,297.079987,7334.098633,172.641739,159.75,2376
4/28/2020,291.359985,7302.089355,170.807144,153.824005,2314.080078
4/29/2020,298.459991,6865.493164,158.412445,160.102005,2372.709961
4/30/2020,292.279999,6859.083008,158.216019,156.376007,2474
5/1/2020,282.779999,6971.091797,161.142426,140.264008,2286.040039
5/4/2020,291.290009,6845.037598,156.279556,152.238007,2315.98999
5/5/2020,293.73999,6842.427734,157.59639,153.641998,2317.800049
5/6/2020,297.790009,6642.109863,153.286896,156.516006,2351.26001
5/7/2020,304.869995,7116.804199,172.157379,156.007996,2367.610107
5/8/2020,312.5,null,null,163.884003,2379.610107
5/11/2020,322.619995,7257.665039,186.914001,162.257996,2409
5/12/2020,312.100006,7189.424805,181.61496,161.882004,2356.949951
5/13/2020,311.200012,6881.958496,172.297165,158.192001,2367.919922
